Education,JoiningYear,City,Age,Gender,EverBenched,ExperienceInCurrentDomain,PaymentTier
Bachelors,2017,Bangalore,34,Male,No,0,3
Bachelors,2013,Pune,28,Female,No,3,1
Bachelors,2014,New Delhi,38,Female,No,2,3
Masters,2016,Bangalore,27,Male,No,5,3
Masters,2017,Pune,24,Male,Yes,2,3
Bachelors,2016,Bangalore,22,Male,No,0,3
Bachelors,2015,New Delhi,38,Male,No,0,3
Bachelors,2016,Bangalore,34,Female,No,2,3
Bachelors,2016,Pune,23,Male,No,1,3
Masters,2017,New Delhi,37,Male,No,2,2
Masters,2012,Bangalore,27,Male,No,5,3
Bachelors,2016,Pune,34,Male,No,3,3
Bachelors,2018,Pune,32,Male,Yes,5,3
Bachelors,2016,Bangalore,39,Male,No,2,3
Bachelors,2012,Bangalore,37,Male,No,4,3
Bachelors,2017,Bangalore,29,Male,No,3,1
Bachelors,2014,Bangalore,34,Female,No,2,3
Bachelors,2014,Pune,34,Male,No,4,3
Bachelors,2015,Pune,30,Female,No,0,2
Bachelors,2016,New Delhi,22,Female,No,0,2
Bachelors,2012,Bangalore,37,Male,No,0,3
Masters,2017,New Delhi,28,Male,No,4,2
Bachelors,2017,New Delhi,36,Male,No,3,2
Bachelors,2015,Bangalore,27,Male,Yes,5,3
Bachelors,2017,Bangalore,29,Male,No,4,3
Bachelors,2013,Bangalore,22,Female,Yes,0,3
Bachelors,2016,Bangalore,37,Male,No,2,3
Bachelors,2015,Bangalore,23,Male,No,1,3
Bachelors,2013,Pune,31,Female,No,2,2
Masters,2017,New Delhi,30,Female,No,2,2
PHD,2013,New Delhi,25,Male,No,3,3
Bachelors,2014,Bangalore,23,Male,No,1,3
Bachelors,2018,Bangalore,26,Male,No,4,3
Bachelors,2016,Bangalore,40,Male,No,5,3
Bachelors,2017,Pune,37,Female,No,0,2
Bachelors,2014,Bangalore,30,Female,No,3,1
Bachelors,2012,New Delhi,29,Male,No,3,3
Bachelors,2018,New Delhi,34,Female,No,0,2
Bachelors,2017,Pune,29,Female,No,2,2
Bachelors,2014,Pune,30,Male,Yes,4,3
Bachelors,2015,Bangalore,36,Male,No,1,3
Masters,2017,New Delhi,23,Male,No,1,2
Bachelors,2013,Bangalore,30,Male,No,3,3
Bachelors,2014,Bangalore,36,Male,No,0,3
Bachelors,2015,Pune,39,Male,No,4,3
Bachelors,2014,Bangalore,23,Female,No,1,3
PHD,2012,New Delhi,27,Male,No,5,3
Masters,2013,New Delhi,35,Male,No,2,3
Masters,2017,New Delhi,34,Male,No,0,2
Bachelors,2013,Bangalore,30,Female,No,1,3
PHD,2017,New Delhi,34,Male,No,2,3
Bachelors,2015,Pune,26,Female,No,4,2
Bachelors,2016,Bangalore,34,Female,No,0,3
Bachelors,2014,Bangalore,31,Female,Yes,5,3
Bachelors,2017,New Delhi,31,Female,Yes,5,3
PHD,2013,New Delhi,28,Male,No,2,3
Bachelors,2016,Bangalore,38,Male,No,2,3
Masters,2014,Pune,39,Female,No,2,3
Bachelors,2013,Pune,32,Male,No,4,3
Masters,2017,Pune,36,Male,No,2,2
Masters,2013,New Delhi,29,Male,No,3,3
Bachelors,2015,Bangalore,30,Male,No,5,3
PHD,2013,Bangalore,25,Male,No,3,2
Bachelors,2014,Pune,22,Female,No,0,1
Bachelors,2016,Bangalore,34,Male,No,4,3
Bachelors,2018,Bangalore,40,Male,No,1,3
PHD,2013,Bangalore,26,Male,No,4,3
Bachelors,2014,New Delhi,28,Male,No,0,3
Bachelors,2015,Bangalore,24,Female,No,2,3
Masters,2017,Bangalore,40,Female,No,2,3
Bachelors,2018,Bangalore,23,Female,No,1,3
Masters,2017,Bangalore,31,Male,No,4,3
Bachelors,2014,Pune,25,Female,No,3,3
Bachelors,2014,Bangalore,27,Male,No,5,1
Masters,2017,New Delhi,25,Female,No,3,2
Bachelors,2015,Bangalore,40,Male,No,0,3
Bachelors,2014,Bangalore,23,Female,No,1,1
Bachelors,2017,Bangalore,23,Female,No,1,3
Bachelors,2012,Bangalore,39,Male,No,1,3
PHD,2015,New Delhi,37,Male,No,1,1
Bachelors,2017,Pune,38,Male,No,2,3
Bachelors,2013,Bangalore,31,Female,No,0,3
Bachelors,2016,Bangalore,38,Male,No,5,3
Bachelors,2017,Bangalore,25,Female,No,3,3
Bachelors,2015,Bangalore,27,Female,Yes,5,3
Bachelors,2016,Pune,36,Male,No,0,2
Bachelors,2017,Pune,27,Female,No,5,2
Masters,2015,Pune,32,Female,No,4,2
Bachelors,2014,Bangalore,28,Male,No,4,3
Masters,2012,New Delhi,32,Male,No,2,3
Bachelors,2018,Bangalore,30,Male,No,0,3
Bachelors,2015,New Delhi,22,Male,No,0,3
Bachelors,2017,New Delhi,34,Female,No,5,2
Masters,2013,New Delhi,36,Male,No,2,3
Bachelors,2014,Bangalore,39,Male,No,3,3
PHD,2018,Bangalore,26,Male,No,4,3
Bachelors,2016,Bangalore,31,Female,No,0,3
Bachelors,2014,Bangalore,27,Male,No,5,3
